,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Machico ,2019,20038,0,293.6,11.6,71.2,17.2,149,298,1.5,129,216,0,-87,82,44,0,5,9947,8,7,6,3,3,1,3021,0,0,2,81,0,0,0,0,0,0,0,6,0,23,5990,1020,40,510,0,0,188,0,0,0,0,25.8,0,70.9,0,22
Madalena ,2010,6060,0,0,14.8,67.1,18.1,122,142,2.3,0,78,0,-25,33,15,0,2,3155,17,5,5,1,1,2,1121,0,0,0,0,0,23.5,885,1617,12,28,0,6,0,13,1826,281,41,232,94,2,91,5797.8,6057.9,260,82,34,3297.1,1.3,3,2
Madalena ,2019,5885,0,40,14,67,18.9,135,208,3.5,53,49,0,4,25,13,0,2,3371,32,5,5,1,1,2,1015,0,0,0,4,1,0,0,0,0,0,0,6,0,14,1897,340,44,135,0,0,92,0,0,0,0,40.3,0,121,0,26
Mafra ,2010,75499,0,0,19.4,65.9,14.7,76,4226,5.6,0,574,0,471,381,274,0,15,42764,235,42,22,6,6,4,12413,0,0,3,103,1,8,9695,28266,15,14,898,42,5,100,15168,2560,29,1347,2584,5,1013,54966.1,55236.1,270,44.3,42.1,3591.2,176.5,8,6
Mafra ,2019,84412,0,289.4,16.8,67.1,16.2,96,4394,5.2,752,649,4,103,400,205,0,16,44318,141,37,20,7,7,5,14375,0,0,2,67,0,0,0,0,0,0,0,22,6,79,17359,3391,29,765,1439,3,985,0,0,0,0,24.2,0,163.9,0,69
Maia ,2010,134759,0,0,17,70.2,12.8,75,2281,1.7,0,870,0,643,514,444,1,24,59520,96,68,44,8,12,5,21689,1,4249,0,785,9,14,15181,63923,12,20,1117,80,1,189,27567,4283,28,8974,8469,9,1154,62514.9,68351.4,5836,33,32.3,9678.4,109.7,9,10
Maia ,2019,138349,0,1668.1,14.5,67.8,17.7,122,3177,2.3,1076,1066,0.9,10,391,339,0,26,60355,30,66,39,10,10,8,19501,3,4279,1,169,10,0,0,0,0,0,0,41,1,133,32377,5383,32,4107,4171,4,961,0,0,0,0,30.9,0,143.8,0,13
Mangualde ,2010,20001,0,0,13.9,63.3,22.7,163,428,2.1,0,237,0,-82,107,41,0,8,13123,67,22,16,2,3,1,3639,0,0,0,0,0,4.7,1633,6855,39,74,925,9,2,23,6043,868,40,1074,1145,9,322,14416.1,15386.5,970,56.7,22,8294.9,23.4,7,6
Mangualde ,2019,18564,0,84.7,11.6,62.6,25.8,223,340,1.8,115,267,0,-152,79,35,0,8,13320,22,16,8,1,2,1,2718,0,0,0,26,0,0,0,0,0,0,0,8,1,21,5874,907,41,481,561,5,258,0,0,0,0,28,0,37,0,13
Manteigas ,2010,3484,0,0,11,63.8,25.2,229,9,0.3,0,62,0,-43,11,3,0,2,2603,3,3,1,1,2,2,536,0,0,0,0,1,13.3,299,649,18,25,721,1,1,3,1504,199,55,128,212,10,68,6138.7,5962.6,-176,82.5,24.7,3402.5,65.7,2,2
Manteigas ,2019,3022,0,24.8,7.7,61.8,30.5,397,21,0.7,23,58,0,-35,10,4,0,2,2611,1,2,1,1,1,2,270,0,0,0,51,0,0,0,0,0,0,0,1,1,2,1455,231,61,46,73,4,62,0,0,0,0,12.9,0,97.3,0,13
Marco de Canaveses ,2010,53559,0,0,18.4,69.2,12.4,68,430,0.8,0,424,0,143,197,121,1,10,24085,128,56,47,4,8,5,12246,0,0,1,0,2,3.9,3723,15941,4,20,728,21,2,39,10800,999,27,5842,3994,11,429,19679,22096.7,2418,73.6,27.8,2818,44.7,9,1
Marco de Canaveses ,2019,51579,0,255.5,13.3,70.4,16.3,123,323,0.6,346,420,2.9,-74,187,111,1,12,24848,74,44,35,4,9,5,7780,0,0,0,44,0,0,0,0,0,0,0,12,2,35,11157,1208,28,2172,2428,7,360,0,0,0,0,18.9,0,37.8,0,17
Marinha Grande ,2010,38594,0,0,15.4,66.8,17.8,116,1480,3.8,0,345,0,37,129,132,1,8,21892,51,18,21,4,7,5,8176,1,219,2,0,1,10.2,4585,14308,8,17,1103,18,1,48,11650,1325,40,1361,1836,7,303,20252.3,21302.9,1051,38.8,46.5,12393.3,103.9,10,9
Marinha Grande ,2019,38456,0,205.4,13.4,64,22.5,168,2138,5.6,291,404,3.4,-113,89,93,1,9,22294,35,21,21,4,6,5,6295,1,128,2,18,0,0,0,0,0,0,0,11,1,40,12386,1527,42,649,1078,4,283,0,0,0,0,33.7,0,60.9,0,15
Marvão ,2010,3564,0,0,9.9,57.4,32.7,329,101,2.8,0,85,0,-64,8,8,0,3,2980,3,2,2,2,2,0,325,0,0,2,0,0,8.7,321,553,16,30,730,2,1,5,1608,247,59,159,110,5,113,5961.1,5584.6,-377,82.2,7.3,3520.4,88.1,5,5
Marvão ,2019,3030,0,19.6,9,58.8,32.2,357,125,4.1,15,78,0,-63,7,5,0,3,2984,0,2,2,1,1,0,203,0,0,2,0,0,0,0,0,0,0,0,1,1,4,1305,274,58,59,66,4,105,0,0,0,0,30.7,0,89.1,0,23
Matosinhos ,2010,175412,0,0,14.6,70,15.4,105,3208,1.8,0,1390,0,304,619,570,3,36,81832,107,78,49,14,21,10,29206,4,5530,2,162,15,13.2,19657,87499,28,42,1127,101,3,257,43449,7905,34,14360,9156,7,1784,95583.3,98083.6,2500,40.6,37.2,5692.7,115.5,17,15
Matosinhos ,2019,174870,0,2801.5,13.3,65.5,21.2,160,5022,2.9,1419,1582,1.4,-163,489,402,3,36,83095,38,68,41,15,21,11,23898,3,5413,2,263,17,0,0,0,0,0,0,58,1,190,48445,8997,38,6683,6789,6,1945,0,0,0,0,33.6,0,139.5,0,34
Mealhada ,2010,20501,0,0,14.1,65.4,20.5,146,428,2.1,0,221,0,-41,77,49,0,7,10119,42,19,9,2,4,2,2982,0,0,0,0,0,3.3,2144,5644,12,26,987,10,4,36,6974,931,45,340,747,6,333,14053.7,16111.3,2058,63,30,5679.7,67.3,4,10
Mealhada ,2019,19903,0,179.9,12,64.6,23.4,196,345,1.7,144,242,0,-98,63,36,1,7,10367,14,13,6,2,3,2,2399,0,0,0,44,1,0,0,0,0,0,0,6,3,31,6108,1052,41,143,352,3,314,0,0,0,0,22.9,0,96.2,0,18
Mêda ,2010,5275,0,0,10.6,55.3,34.1,322,16,0.3,0,87,0,-60,16,5,0,1,4934,15,4,1,1,1,1,611,0,0,1,0,1,4.7,429,898,15,33,776,3,1,5,2253,267,54,120,117,4,178,8352.7,8609.1,256,88.1,22,2644.4,33.7,3,0
Mêda ,2019,4602,0,16.1,8.6,55,36.4,422,46,1,22,80,45.5,-58,14,9,0,1,5003,3,2,1,1,1,1,430,0,0,0,1,0,0,0,0,0,0,0,2,1,5,1817,275,50,64,58,2,169,0,0,0,0,24.6,0,72.8,0,6
Melgaço  ,2010,9301,0,0,9.3,55.1,35.6,380,154,1.7,0,169,0,-114,27,14,0,3,7582,19,3,2,1,1,2,1057,0,0,0,0,0,5.3,698,1338,12,24,766,6,1,9,2944,457,41,108,112,2,317,11695.8,12289,593,77,23,2642.7,63.9,2,4
Melgaço  ,2019,8119,0,34.1,8,55.7,36.3,454,108,1.3,35,179,28.6,-144,22,9,0,3,7657,4,3,2,1,1,2,752,1,267,1,0,0,0,0,0,0,0,0,5,1,9,2361,454,38,68,112,2,278,0,0,0,0,25.5,0,85.1,0,20
Mértola ,2010,7374,0,0,9.4,55.9,34.7,370,138,1.9,0,137,0,-95,20,2,0,2,8472,13,8,7,1,1,2,1050,0,0,0,0,1,10.6,794,1426,12,26,755,2,1,5,3335,405,57,366,272,7,285,14957.9,15453.5,496,88.6,14.2,2497.6,25.8,5,1
Mértola ,2019,6172,0,4.8,9,55.4,35.6,395,145,2.3,28,113,0,-85,13,5,0,2,8616,8,7,5,1,1,2,692,0,0,1,91,1,0,0,0,0,0,0,2,1,5,2836,447,59,155,201,6,260,0,0,0,0,23,0,70.8,0,21
Mesão Frio ,2010,4482,0,0,14.1,66.1,19.8,141,24,0.5,0,60,0,-29,31,11,0,3,2383,1,5,5,1,1,1,1068,0,0,0,0,0,1.2,297,635,21,30,725,2,1,3,1394,175,41,448,465,16,135,10669,7037.5,-3632,80.3,38.2,1916.7,18.5,3,1
Mesão Frio ,2019,3980,0,149.3,10.1,66.8,23.1,229,18,0.5,17,63,0,-46,25,5,0,3,2409,4,1,1,1,1,1,583,0,0,0,32,0,0,0,0,0,0,0,2,1,3,1222,198,40,189,274,10,134,0,0,0,0,27.1,0,14.1,0,9
Mira ,2010,12525,0,0,13.3,63.2,23.5,177,147,1.2,0,150,0,-35,37,29,0,6,8601,44,9,8,1,1,1,1483,0,0,1,0,0,10.5,1436,3347,12,26,795,5,2,16,3610,947,42,414,588,7,238,10036.8,10420.5,384,59.4,26.7,4548.8,63.4,6,7
Mira ,2019,11832,0,95.4,11.7,61.8,26.5,227,226,1.9,99,158,0,-59,51,23,0,6,8875,16,8,8,1,1,1,1276,0,0,0,1,0,0,0,0,0,0,0,3,2,11,3604,747,42,159,316,4,205,0,0,0,0,32.1,0,83.4,0,13
Miranda do Corvo ,2010,13148,0,0,14.4,65.9,19.7,137,161,1.2,0,151,0,-65,27,31,0,3,7361,31,9,8,2,2,1,1692,0,0,0,0,1,5.9,1276,2447,7,16,770,3,1,11,3899,651,40,473,482,6,163,9964.8,10152.7,188,69.1,26.5,2345.8,41.9,2,1
Miranda do Corvo ,2019,12698,0,100.5,10.2,67.5,22.3,219,354,2.8,69,144,0,-75,25,21,0,3,7508,6,9,8,2,2,1,1377,0,0,1,32,1,0,0,0,0,0,0,2,1,10,3890,772,41,218,266,3,180,0,0,0,0,15.1,0,55.6,0,6
Miranda do Douro ,2010,7552,0,0,10.2,57.8,31.9,311,119,1.6,0,111,0,-75,20,7,0,2,5506,21,4,3,2,2,1,1234,1,2,1,0,0,11.7,874,1503,9,19,812,6,3,10,2788,528,49,159,250,6,201,8425.8,9567.6,1142,83.4,33.1,3791.2,30.5,3,9
Miranda do Douro ,2019,6854,0,14.1,8.5,58.3,33.2,389,92,1.3,21,110,0,-89,8,5,0,2,5590,14,4,3,2,2,1,626,0,0,1,0,0,0,0,0,0,0,0,5,3,9,2297,590,46,121,168,4,183,0,0,0,0,25.1,0,34.9,0,24
Mirandela ,2010,24030,0,0,12.4,63.4,24.2,195,457,1.9,0,276,0,-105,94,51,1,7,14819,91,23,17,2,5,5,4608,2,1247,0,0,1,9.6,2478,5072,5,13,831,12,2,24,7162,1545,42,713,1508,10,475,18982.8,19916,933,72.2,35.2,3198.5,44.5,8,5
Mirandela ,2019,21781,0,33.1,10.6,61.1,28.2,265,584,2.7,151,302,0,-151,37,55,2,7,15226,26,11,6,2,4,3,3139,1,1444,1,0,1,0,0,0,0,0,0,9,2,22,6585,1754,43,560,923,7,300,0,0,0,0,24.7,0,71,0,12
Mogadouro ,2010,9657,0,0,9.9,57.9,32.3,326,103,1.1,0,127,0,-83,47,9,0,3,7181,22,7,4,1,1,1,1132,0,0,0,0,0,11.1,937,1535,8,21,836,4,1,6,3614,604,49,115,398,7,163,12624.8,13927.6,1303,86.6,23.8,3164.2,33,6,3
Mogadouro ,2019,8437,0,11.1,8.6,56.1,35.2,407,74,0.9,26,139,38.5,-113,21,14,0,2,7321,18,3,2,1,1,1,1074,0,0,1,0,0,0,0,0,0,0,0,4,1,6,3090,663,49,210,303,6,185,0,0,0,0,17,0,24.1,0,6
Moimenta da Beira ,2010,10272,0,0,14.8,62.6,22.6,153,194,1.9,0,138,0,-45,52,12,0,3,7777,33,16,12,1,2,2,2631,0,0,0,0,0,12.7,976,2045,9,18,717,4,3,8,2969,441,39,926,564,9,151,7960.4,9414.9,1455,72.2,26.3,3004.1,39.6,6,2
Moimenta da Beira ,2019,9733,0,44.2,11.2,63.8,25,224,136,1.4,53,126,0,-73,38,8,0,3,8064,27,5,3,1,2,2,1484,0,0,0,57,0,0,0,0,0,0,0,3,3,9,2857,467,38,543,689,11,130,0,0,0,0,23.2,0,43.9,0,5
Moita ,2010,66176,0,0,16.3,67.7,16,98,3320,5,0,625,0,93,209,197,0,14,34619,51,25,24,6,8,3,10464,0,0,0,76,1,7.1,4780,10918,8,16,916,20,2,57,19231,3067,40,5602,4198,9,822,28758.6,29886,1127,41.4,39.1,2161.1,38.1,8,0
Moita ,2019,64467,0,1166.6,15.4,63.5,21.1,136,3243,5,653,727,4.6,-74,154,126,0,16,34811,20,26,22,6,8,3,9713,0,0,0,78,1,0,0,0,0,0,0,14,2,50,18691,3801,41,3233,2524,6,722,0,0,0,0,29.8,0,139.7,0,0
Monção ,2010,19343,0,0,10.9,61.3,27.7,254,468,2.4,0,293,0,-176,75,36,0,6,13378,55,13,9,2,4,2,3237,0,0,0,0,0,8.4,1875,4168,5,14,769,9,1,16,6281,744,41,276,587,5,301,18113.3,18832.6,719,75.9,28,2858.8,38.8,4,3
Monção ,2019,17886,0,84.6,9.6,60.9,29.5,309,568,3.2,100,296,0,-196,37,30,0,6,13645,12,6,5,2,4,2,2147,0,0,2,72,1,0,0,0,0,0,0,6,1,17,5750,840,41,175,324,3,255,0,0,0,0,18.3,0,60.3,0,18
Monchique ,2010,6124,0,0,9.5,57.8,32.8,345,571,9.3,0,110,0,-72,24,6,0,3,4585,9,2,3,1,1,0,567,0,0,0,0,0,1.9,741,1339,11,18,787,1,3,4,2480,212,49,213,210,6,231,7982.8,9307.9,1325,80.9,32,3819.5,87.4,8,7
Monchique ,2019,5130,0,13,9.7,55,35.3,364,817,15.9,41,104,0,-63,80,8,0,3,4607,0,2,3,1,1,0,459,0,0,0,2,0,0,0,0,0,0,0,1,2,5,2040,251,50,84,158,6,225,0,0,0,0,33.3,0,137.8,0,13
Mondim de Basto ,2010,7587,0,0,15.6,63.9,20.5,132,33,0.4,0,86,0,-35,37,16,0,2,4513,18,8,11,1,1,1,1421,0,0,0,0,0,7.7,474,1364,21,40,704,3,1,5,2251,432,42,574,455,9,168,21072.8,8214.5,-12858,89.2,26,2054.7,37.7,6,1
Mondim de Basto ,2019,6966,0,40.5,9.9,67.7,22.5,227,48,0.7,32,94,31.3,-62,29,12,0,2,4634,7,5,2,1,1,1,807,0,0,0,1,0,0,0,0,0,0,0,3,1,5,2088,415,40,198,293,6,143,0,0,0,0,21.7,0,56.4,0,7
Monforte ,2010,3343,0,0,14.7,57.7,27.6,188,67,2,0,54,0,-23,12,5,1,4,2331,10,4,4,1,1,0,407,0,0,1,0,0,8.1,265,551,14,58,869,2,1,6,1463,158,57,423,182,9,158,4771.6,5327.3,556,87.4,9,2954.2,169.9,5,1
Monforte ,2019,2982,0,7.1,13.5,61.9,24.6,182,41,1.4,24,48,0,-24,8,3,1,4,2347,0,4,4,1,1,0,353,0,0,1,20,0,0,0,0,0,0,0,2,1,6,1122,194,51,351,192,10,179,0,0,0,0,19.8,0,243.8,0,1
Montalegre ,2010,10705,0,0,10.1,57.6,32.3,319,81,0.8,0,191,0,-146,51,17,0,5,10496,26,6,7,2,2,3,1352,0,0,1,0,0,9.9,886,1661,15,26,749,8,2,11,4602,549,54,462,368,6,298,16790.6,17690.3,900,78.5,41.4,2940.4,74.1,4,3
Montalegre ,2019,9044,0,11.2,7.6,56.4,36,471,101,1.1,33,168,0,-135,35,19,0,5,10644,11,3,3,2,2,2,812,0,0,1,0,0,0,0,0,0,0,0,7,2,9,3834,616,53,215,281,6,289,0,0,0,0,41.9,0,29.9,0,22
Montemor-o-Novo ,2010,17560,0,0,12,60.3,27.7,230,333,1.9,0,277,0,-155,53,34,1,11,10295,15,13,12,1,2,1,2402,0,0,1,0,0,15.6,2094,4715,7,20,853,8,4,28,6674,670,48,541,525,5,362,17134.4,17469.9,336,70.3,26.6,3980,62,7,2
Montemor-o-Novo ,2019,15694,0,12.7,10.6,59.5,29.9,281,394,2.5,100,265,0,-165,60,16,1,11,10359,4,11,11,1,2,1,1951,0,0,1,121,1,0,0,0,0,0,0,5,4,23,6281,783,50,224,278,3,363,0,0,0,0,24,0,70.6,0,10
Montemor-o-Velho ,2010,26164,0,0,12.7,65.1,22.1,173,273,1,0,292,0,-54,98,62,0,11,13171,47,16,15,4,6,3,3835,0,0,0,335,0,32.6,2437,5122,14,22,813,5,5,21,7906,1133,39,753,1106,6,274,24986.5,23760.9,-1226,78,34.1,2473.1,45.2,3,1
Montemor-o-Velho ,2019,25227,0,110.2,12.1,63.5,24.4,201,239,0.9,176,298,0,-122,80,45,0,11,13504,26,15,9,4,6,3,2487,0,0,0,208,0,0,0,0,0,0,0,4,5,18,7754,1366,41,299,653,4,210,0,0,0,0,20.1,0,81.3,0,7
Montijo ,2010,50593,0,0,17,66.6,16.4,97,2789,5.5,0,523,0,124,188,190,1,11,26611,79,30,21,2,4,3,8626,0,0,0,0,6,10.1,5329,12847,8,22,982,26,2,65,11894,2162,33,2196,2529,8,878,32099,31254.9,-844,39.6,41.9,4143.5,76.8,10,3
Montijo ,2019,57251,0,164.2,17,65.9,17.2,101,4347,7.6,619,576,1.6,43,171,119,1,14,27555,31,28,22,5,6,3,8864,0,0,1,43,6,0,0,0,0,0,0,14,2,53,12732,2655,32,1832,1897,5,857,0,0,0,0,39.8,0,134.5,0,11
Mora ,2010,5047,0,0,10.4,58.2,31.5,303,59,1.2,0,109,0,-79,16,11,0,5,3880,8,5,4,1,1,1,594,0,0,0,0,1,12.8,486,1082,20,41,809,2,3,7,2463,227,60,257,171,6,137,6252.3,6723.6,471,77.6,19.6,3363.8,85.6,5,2
Mora ,2019,4163,0,9.4,10,57.3,32.7,326,46,1.1,24,88,0,-64,12,2,0,5,3911,0,5,3,1,1,1,408,0,0,1,0,0,0,0,0,0,0,0,1,3,6,2167,234,64,46,72,3,154,0,0,0,0,24.5,0,92.7,0,6
Mortágua ,2010,9679,0,0,11.2,62.3,26.5,235,162,1.7,0,128,0,-60,30,8,0,4,6012,33,11,4,1,3,2,1303,0,0,0,0,0,8.7,1065,2753,16,37,890,4,1,9,3432,295,44,323,229,4,178,11820.4,10443,-1377,78.4,16.2,5248.8,34,6,4
Mortágua ,2019,8830,0,35.2,9.9,59.3,30.8,310,222,2.5,60,140,0,-80,22,6,0,4,6139,10,2,1,1,2,1,915,0,0,0,17,0,0,0,0,0,0,0,4,1,9,3335,365,47,79,124,2,144,0,0,0,0,19.8,0,71.9,0,5
Moura ,2010,15268,0,0,15.8,61.4,22.8,144,636,4.2,0,237,0,-102,41,24,0,11,10585,17,10,11,2,4,2,3127,0,0,1,21,0,13.4,1687,3002,8,38,912,5,4,20,5417,798,49,2118,1078,11,358,15076.1,14089.7,-986,76.6,25.5,2881.3,29.2,7,3
Moura ,2019,13734,0,14.3,14.8,62.3,22.9,154,273,2,132,205,0,-73,34,24,0,12,10634,2,10,11,2,4,2,2403,0,0,1,48,0,0,0,0,0,0,0,4,4,20,4474,795,45,1396,941,11,363,0,0,0,0,21.5,0,39.8,0,9
Mourão ,2010,2696,0,0,15.7,61.3,23,147,19,0.7,0,51,0,-23,2,6,0,1,1940,6,3,3,1,1,0,390,0,0,1,0,0,2.6,277,435,17,34,785,2,1,6,941,174,49,433,141,9,210,5602.5,5296.3,-306,81.6,18.9,3126.1,65.7,1,0
Mourão ,2019,2453,0,8.8,13,64.8,22.2,171,38,1.5,22,43,0,-21,8,5,0,2,1935,1,3,3,1,1,0,270,0,0,1,16,0,0,0,0,0,0,0,1,1,5,794,204,47,313,170,11,167,0,0,0,0,17.9,0,71.7,0,7
Murça ,2010,6004,0,0,12.4,60.9,26.8,216,20,0.3,0,79,0,-38,22,14,0,2,4128,11,6,8,1,2,2,918,0,0,0,0,0,6.2,539,976,15,28,741,2,1,3,2252,294,49,369,295,8,160,7308.9,8604.5,1296,89.4,31.1,2551.9,19.5,4,0
Murça ,2019,5472,0,28.9,9.9,59.9,30.1,304,46,0.8,19,70,0,-51,15,5,0,2,4183,8,3,1,1,2,2,724,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2111,343,50,412,331,10,114,0,0,0,0,21.6,0,31.6,0,3
Murtosa ,2010,10559,0,0,17.1,63.1,19.8,116,96,0.9,0,127,0,-34,37,17,0,4,7635,30,8,6,2,2,1,1590,0,0,0,0,0,12.3,1146,2133,13,30,747,5,1,10,2489,249,31,286,450,7,91,7260.9,7589.1,328,62.6,32.9,3261.8,49,4,3
Murtosa ,2019,10262,0,140.4,13.8,65.3,20.9,151,184,1.8,84,125,0,-41,63,15,0,4,7786,15,6,4,2,2,1,1286,0,0,0,0,0,0,0,0,0,0,0,4,1,12,2355,301,30,83,202,3,68,0,0,0,0,33,0,55,0,4
Nazaré ,2010,15183,0,0,14.5,67,18.6,128,550,3.6,0,182,0,-27,78,37,1,6,13102,53,7,9,2,2,2,2558,0,0,1,0,0,17.5,1884,3612,6,19,825,9,2,26,4620,559,40,309,793,8,362,12229.2,11718.6,-511,42.4,42.5,5113.4,41,11,11
Nazaré ,2019,14173,0,171.9,13.7,62.6,23.6,172,828,5.8,117,195,0,-78,111,29,1,6,13537,16,6,4,1,2,3,1869,0,0,2,15,0,0,0,0,0,0,0,7,2,22,4819,652,45,91,326,4,185,0,0,0,0,41.8,0,117.2,0,30
Nelas ,2010,14071,0,0,14,63,23,164,140,1,0,162,0,-63,68,29,0,6,8724,39,17,10,2,3,2,2257,0,0,0,0,1,5.2,1059,3487,21,51,934,6,2,17,4535,562,42,841,758,9,333,16853.2,10085.6,-6768,62.5,26.1,8431.7,26.6,5,7
Nelas ,2019,13002,0,103.4,11.8,60.9,27.3,230,194,1.5,93,176,0,-83,39,23,0,6,8902,20,14,7,2,3,2,1802,0,0,0,7,0,0,0,0,0,0,0,5,2,19,4463,657,45,261,384,5,228,0,0,0,0,24.8,0,50.3,0,14
Nisa ,2010,7549,0,0,9.9,53.5,36.6,368,78,1,0,177,0,-129,18,13,0,5,7325,8,5,4,1,2,2,1071,0,0,1,0,0,7.7,713,1258,10,23,771,3,1,8,3597,576,62,337,253,6,260,10957.7,11385.1,427,80.3,14,2906.2,81.3,7,0
Nisa ,2019,6105,0,10.6,8.6,56.4,34.9,404,78,1.3,28,142,0,-114,9,15,0,5,7370,7,3,1,1,1,1,517,0,0,1,3,1,0,0,0,0,0,0,1,1,6,2869,618,63,164,172,5,229,0,0,0,0,23.8,0,70.8,0,5
Nordeste ,2010,4988,0,0,17.4,64.8,17.8,102,34,0.7,0,90,0,-29,19,17,0,2,2703,5,9,8,1,1,2,899,0,0,0,0,0,5.2,403,696,20,28,0,4,0,6,1074,242,32,637,202,6,89,5826.9,6281.7,455,93.9,23.7,1950.5,70,3,1
Nordeste ,2019,4869,0,48,13.5,68.5,18,133,40,0.8,40,64,0,-24,15,4,0,2,2754,5,6,5,1,1,2,741,0,0,0,10,0,0,0,0,0,0,0,4,0,7,971,301,30,543,0,0,66,0,0,0,0,25.9,0,83.2,0,13
Óbidos ,2010,11734,0,0,15.1,63.3,21.6,143,422,3.6,0,97,0,-14,43,48,0,5,8979,60,11,9,1,1,1,1677,0,0,1,156,0,16.4,1523,3682,12,25,929,5,4,20,3434,319,37,260,498,7,351,21098.4,19280,-1818,34.3,39.9,5461.8,80.7,3,9
Óbidos ,2019,11785,0,83.3,12.7,63.2,24.1,189,842,7.1,98,144,0,-46,70,16,0,5,9250,37,11,3,3,1,1,1473,0,0,1,12,0,0,0,0,0,0,0,2,4,19,3540,460,39,69,193,3,273,0,0,0,0,27.7,0,121.4,0,29
Odemira ,2010,26138,0,0,12.2,61,26.8,221,2831,10.8,0,354,0,-155,59,39,0,12,20846,56,25,27,5,6,3,4889,0,0,0,0,1,2.1,3025,7251,12,18,861,9,5,40,9024,850,43,845,1288,8,572,28187.6,28055.6,-132,67.5,25.4,3161.5,54.4,6,15
Odemira ,2019,24669,0,14.3,11.6,60.9,27.5,236,8157,33.1,237,394,8.4,-157,32,36,0,12,21086,19,21,17,5,6,3,3490,0,0,0,41,2,0,0,0,0,0,0,6,5,40,8018,1044,42,303,831,6,457,0,0,0,0,31.3,0,79.2,0,107
Odivelas ,2010,143851,0,0,15,68.7,16.3,108,14523,10.1,0,1039,0,710,0,374,0,33,68832,306,53,36,12,18,9,24659,1,957,0,508,5,5.2,15052,32927,5,7,909,49,2,141,21558,10061,26,5282,5574,6,1213,63739.5,67843.4,4104,42.2,32.2,2150.7,0,8,0
Odivelas ,2019,160688,0,6054.6,16.5,62.6,20.9,127,17696,11,1926,1256,2.6,670,0,241,0,36,71816,139,64,38,10,16,8,22507,1,495,0,152,7,0,0,0,0,0,0,32,2,117,33441,10896,33,2985,3025,3,1257,0,0,0,0,21.2,0,0,0,0
Oeiras ,2010,171786,45.9,3744,15.7,65.5,18.9,121,10343,6,1909,1442,6.8,467,501,471,3,47,86020,93,85,51,13,18,11,28167,6,4911,2,702,21,9.6,23696,143047,17,16,1731,116,2,338,36795,17575,37,4896,6028,5,1817,111127,113261.4,2134,18.6,34.1,4741.5,180.9,8,7
Oeiras ,2019,176813,45.9,3853.8,15.4,60.1,24.5,159,12320,7,1648,1655,2.4,-7,471,314,3,50,86668,28,80,44,15,16,12,26562,6,5234,1,678,20,0,0,0,0,0,0,74,2,235,41846,19129,41,1708,3620,3,2535,0,0,0,0,22.8,0,119.8,0,12
Oleiros ,2010,5791,0,0,7.8,54.5,37.7,484,47,0.8,0,108,0,-85,14,7,0,3,4970,8,4,3,1,1,1,417,0,0,0,0,0,6.8,435,1146,25,52,718,3,2,5,2993,252,61,114,93,3,122,9069.1,8912.1,-157,81.6,16.8,4471.5,4,5,0
Oleiros ,2019,5024,0,10.7,5.6,55.2,39.3,705,103,2.1,13,100,0,-87,6,4,0,3,5013,6,4,3,1,1,1,343,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2394,306,57,69,90,3,148,0,0,0,0,19.5,0,53.9,0,6
Olhão ,2010,45162,0,0,16.7,66.1,17.2,103,3501,7.8,0,441,0,81,117,126,1,9,26124,82,21,15,7,8,2,7402,0,0,1,0,3,3.2,5143,10334,4,8,881,15,6,50,10403,1591,32,2921,2548,9,816,27774.7,28524.9,750,40.2,50.8,2906.9,188.3,17,4
