,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Velas ,2019,5115,0,43.6,11.9,70.2,18,151,80,1.6,29,76,34.5,-47,24,16,0,2,3163,11,3,4,1,1,2,805,0,0,0,14,0,0,0,0,0,0,0,4,1,11,1223,305,34,167,0,0,94,0,0,0,0,34,0,114.2,0,23
Vendas Novas ,2010,11864,0,0,14.1,61.7,24.2,171,212,1.8,0,136,0,-43,41,31,0,4,6400,26,10,9,2,3,1,2166,0,0,0,0,0,8.1,1240,3754,24,22,963,9,1,16,3705,534,42,276,386,5,266,9222.3,8970.9,-251,57.9,28.3,4551.1,77.7,6,2
Vendas Novas ,2019,11257,0,50.6,12.3,59.8,27.9,226,294,2.6,77,153,0,-76,25,18,0,4,6499,5,6,4,2,3,1,1769,0,0,0,15,0,0,0,0,0,0,0,6,1,15,4011,673,47,178,200,3,225,0,0,0,0,32,0,137.2,0,4
Viana do Alentejo ,2010,5760,0,0,14.9,61.1,24,161,97,1.7,0,95,0,-39,15,21,0,4,3575,8,4,3,2,2,1,1174,0,0,0,0,1,44.4,619,1134,11,45,806,3,2,8,2244,241,51,285,214,6,117,6954.3,7284.7,330,82.9,24.5,3220.6,112.7,3,0
Viana do Alentejo ,2019,5144,0,13.1,13.2,65,21.7,164,86,1.7,46,79,0,-33,23,7,0,4,3587,2,4,3,2,2,1,733,0,0,0,0,0,0,0,0,0,0,0,2,2,6,1895,292,49,134,158,5,141,0,0,0,0,26.8,0,106.5,0,7
Viana do Castelo ,2010,89031,0,0,14.4,67,18.6,130,1090,1.2,0,911,0,-177,411,247,2,23,48161,149,50,47,11,16,10,18441,3,2862,2,358,5,11.7,9235,26602,7,35,917,48,6,109,23067,3935,35,2721,4628,8,893,49805.9,49415.9,-390,59.5,30.9,6557.5,62.2,4,17
Viana do Castelo ,2019,84527,0,265,12.1,65,22.9,189,1977,2.3,629,977,4.8,-348,287,232,2,27,48974,63,44,37,10,12,11,13908,3,3022,3,318,5,0,0,0,0,0,0,24,5,94,24509,5009,40,1295,1728,3,1009,0,0,0,0,32.4,0,96.2,0,52
Vidigueira ,2010,5957,0,0,14.1,60.2,25.7,182,224,3.8,0,90,0,-38,18,22,0,2,3850,2,5,4,1,2,1,1258,0,0,1,0,0,23,587,1154,14,36,839,3,1,9,2218,283,49,391,284,8,181,8803.2,8966.2,163,81.9,31.9,3496.4,134.6,7,0
Vidigueira ,2019,5504,0,17.4,14.1,62.8,23.1,163,143,2.6,53,83,0,-30,19,2,0,2,3870,1,5,4,1,1,1,764,0,0,1,0,0,0,0,0,0,0,0,2,1,8,1886,326,47,361,250,7,208,0,0,0,0,34.7,0,240,0,4
Vieira do Minho ,2010,13127,0,0,14.2,64.2,21.5,151,90,0.7,0,166,0,-65,59,24,0,4,8030,31,11,15,1,1,1,2308,0,0,0,0,0,8,990,2220,10,15,763,4,1,12,4320,573,44,1025,953,11,137,9369.5,9889,520,81.6,50.7,2443.7,19.9,3,3
Vieira do Minho ,2019,11870,0,54.8,10.2,65.8,23.9,234,143,1.2,67,170,0,-103,50,20,0,4,8161,12,5,4,1,1,1,1370,0,0,0,0,0,0,0,0,0,0,0,4,1,13,4044,584,43,322,596,8,204,0,0,0,0,26.5,0,54.1,0,43
